Score,Number_of_Dice,Used_Dice,Reroll_Dice,Single_Fives,Single_Ones,Nonscoring,Dice_Roll
100,3,2,1,2,0,1,"[2, 5, 5]"
200,3,3,0,0,0,0,"[2, 2, 2]"
200,3,3,0,2,1,0,"[1, 5, 5]"
200,4,3,1,2,1,1,"[1, 2, 5, 5]"
200,4,3,1,0,0,1,"[2, 2, 2, 3]"
250,4,4,0,1,0,0,"[2, 2, 2, 5]"
300,4,4,0,2,2,0,"[1, 1, 5, 5]"
300,4,4,0,0,1,0,"[1, 2, 2, 2]"
400,4,3,1,0,0,1,"[2, 4, 4, 4]"
500,4,3,1,0,0,1,"[5, 5, 5, 6]"
600,4,3,1,0,0,1,"[2, 6, 6, 6]"
100,5,2,3,2,0,3,"[2, 3, 4, 5, 5]"
200,5,3,2,0,0,2,"[2, 2, 2, 3, 4]"
200,5,3,2,2,1,2,"[1, 2, 3, 5, 5]"
250,5,4,1,1,0,1,"[2, 2, 2, 3, 5]"
300,5,4,1,2,2,1,"[1, 1, 2, 5, 5]"
300,5,4,1,0,1,1,"[1, 2, 2, 2, 3]"
300,5,5,0,2,0,0,"[2, 2, 2, 5, 5]"
350,5,5,0,1,1,0,"[1, 2, 2, 2, 5]"
400,5,3,2,0,0,2,"[2, 3, 4, 4, 4]"
400,5,4,1,0,1,1,"[1, 3, 3, 3, 4]"
400,5,5,0,0,2,0,"[1, 1, 2, 2, 2]"
450,5,4,1,1,0,1,"[2, 4, 4, 4, 5]"
500,5,3,2,0,0,2,"[5, 5, 5, 6, 6]"
500,5,4,1,0,1,1,"[1, 2, 4, 4, 4]"
500,5,5,0,2,0,0,"[4, 4, 4, 5, 5]"
600,5,3,2,0,0,2,"[2, 3, 6, 6, 6]"
600,5,4,1,0,1,1,"[1, 2, 5, 5, 5]"
700,5,4,1,0,1,1,"[1, 2, 6, 6, 6]"
700,5,5,0,2,0,0,"[5, 5, 6, 6, 6]"
100,6,2,4,2,0,4,"[2, 3, 4, 5, 5, 6]"
200,6,3,3,2,1,3,"[1, 2, 3, 4, 5, 5]"
200,6,3,3,0,0,3,"[2, 2, 2, 3, 4, 6]"
250,6,4,2,1,0,2,"[2, 2, 2, 3, 4, 5]"
300,6,4,2,2,2,2,"[1, 1, 2, 3, 5, 5]"
300,6,4,2,0,1,2,"[1, 2, 2, 2, 3, 4]"
300,6,5,1,2,0,1,"[2, 2, 2, 3, 5, 5]"
350,6,5,1,1,1,1,"[1, 2, 2, 2, 3, 5]"
400,6,3,3,0,0,3,"[2, 3, 4, 4, 4, 6]"
400,6,4,2,0,1,2,"[1, 2, 3, 3, 3, 4]"
400,6,5,1,0,2,1,"[1, 1, 2, 2, 2, 3]"
400,6,6,0,2,1,0,"[1, 2, 2, 2, 5, 5]"
450,6,4,2,1,0,2,"[2, 3, 4, 4, 4, 5]"
450,6,5,1,1,1,1,"[1, 2, 3, 3, 3, 5]"
500,6,3,3,0,0,3,"[2, 3, 4, 5, 5, 5]"
500,6,4,2,0,1,2,"[1, 2, 3, 4, 4, 4]"
500,6,5,1,2,0,1,"[2, 4, 4, 4, 5, 5]"
500,6,6,0,2,1,0,"[1, 3, 3, 3, 5, 5]"
550,6,5,1,1,1,1,"[1, 2, 4, 4, 4, 5]"
600,6,3,3,0,0,3,"[2, 3, 4, 6, 6, 6]"
600,6,4,2,0,1,2,"[1, 2, 3, 5, 5, 5]"
600,6,6,0,2,1,0,"[1, 4, 4, 4, 5, 5]"
650,6,4,2,1,0,2,"[2, 3, 5, 6, 6, 6]"
700,6,4,2,0,1,2,"[1, 2, 3, 6, 6, 6]"
700,6,5,1,2,0,1,"[2, 5, 5, 6, 6, 6]"
800,6,6,0,2,1,0,"[1, 5, 5, 6, 6, 6]"